step,time_sec,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
37,0.74,0.00407154,0.00383459,1.0399,0.999362,-0.000244286,-0.0353595,0.00494475,-0.00148644,-0.00125823,0.00245321,0.0198799,0.048446,0.00179163,-0.000640007,0.0134934,0.019537,0.0370481,0.000510948,0.00389433,0.000523862,0.000170265,0.00218823,0.0036033,0.000514623,4.1587e-05,0.00206478
38,0.76,0.00443277,0.00371083,1.0397,0.999283,0.000216194,-0.0375069,0.00515712,-0.00186032,-0.00221309,0.007021,0.0219148,0.0463573,0.00166202,-0.001483,0.0180853,0.0215987,0.035408,0.00068815,0.00447157,0.000707963,0.000222377,0.0025666,0.00412672,0.000700499,7.27863e-05,0.00242557
39,0.78,0.00455196,0.00363466,1.03995,0.999209,0.000259323,-0.0394344,0.0052148,-0.00180377,-0.00250007,0.0102138,0.0227404,0.0458021,0.00119398,-0.00161724,0.0222373,0.0227122,0.0325087,0.000808266,0.00496883,0.000553364,0.000222849,0.00290115,0.00466453,0.000545597,5.24949e-05,0.00286872
40,0.8,0.00419744,0.00362362,1.04028,0.999194,2.77808e-05,-0.0398523,0.00472518,-0.00186566,-0.00228235,0.008123,0.020015,0.0409124,0.00124354,-0.00152109,0.019186,0.0200705,0.029033,0.000697687,0.00449952,0.000505487,0.000200375,0.00256275,0.00424319,0.000494277,4.59216e-05,0.0025302
41,0.82,0.00376806,0.00360132,1.04042,0.999207,-0.000134542,-0.0395989,0.00406316,-0.00220753,-0.00194818,0.00703741,0.0209056,0.0398543,0.00176578,-0.00138948,0.0168082,0.0207053,0.0282717,0.000368207,0.00397453,0.000539293,0.000177032,0.00231917,0.00386178,0.000566457,6.75794e-05,0.00226332
42,0.84,0.00347037,0.00358496,1.04036,0.999199,-0.000203356,-0.0398748,0.00337878,-0.00229935,-0.00182956,0.00740471,0.021562,0.0401223,0.00180884,-0.00130121,0.01648,0.0212027,0.0289098,4.47402e-05,0.00393243,0.000534637,0.000165457,0.00228762,0.00403451,0.00057682,5.96888e-05,0.00224157
43,0.86,0.00333679,0.00357445,1.04009,0.999158,-0.000221993,-0.0409329,0.00275807,-0.00230448,-0.00186461,0.00950056,0.0231246,0.0408986,0.00164805,-0.00137429,0.0181132,0.0223994,0.0300744,-0.000153868,0.00414967,0.000546303,0.000172941,0.00228296,0.00442709,0.000557011,3.93986e-05,0.00225803
44,0.88,0.00335302,0.003565,1.0396,0.999084,-0.000206604,-0.0427241,0.00227087,-0.00227781,-0.00201167,0.0129832,0.0256732,0.0423705,0.00135734,-0.001553,0.0215616,0.0245121,0.0317288,-0.00021341,0.00454239,0.00058773,0.00019764,0.00229805,0.00492612,0.000542466,2.03383e-05,0.00229576
45,0.9,0.00350067,0.00355321,1.03891,0.998977,-0.000163462,-0.0451677,0.00196428,-0.00224536,-0.0022385,0.0176191,0.0290056,0.0442084,0.000968109,-0.00180805,0.0265676,0.0275055,0.033887,-0.000158092,0.00508737,0.000659707,0.000236922,0.00234424,0.00551479,0.000546187,5.60999e-06,0.00236244
46,0.92,0.0036606,0.00344001,1.03854,0.998839,0.000217699,-0.0481393,0.00192187,-0.00210478,-0.00300394,0.0238538,0.0314027,0.0412873,0.000379772,-0.00237296,0.0333949,0.0302017,0.0336031,-1.74493e-05,0.00583041,0.000931077,0.000315851,0.0025534,0.00622073,0.000747724,2.22707e-05,0.00253154
47,0.94,0.00374278,0.00328379,1.03817,0.998674,0.000627809,-0.0514253,0.0020881,-0.00190435,-0.00383593,0.030166,0.0337311,0.0393738,-0.000328403,-0.00307947,0.0403688,0.0316053,0.0311556,0.000234152,0.00658309,0.00108183,0.00039415,0.00267901,0.00692555,0.000811025,2.74215e-05,0.00269635
48,0.96,0.00341919,0.00313133,1.03792,0.998558,0.000714752,-0.0536402,0.00193159,-0.00209766,-0.00444845,0.0330883,0.0353106,0.0390136,-0.000604149,-0.00265005,0.0429086,0.0329499,0.0313829,0.00018544,0.00666258,0.00103685,0.000397106,0.00258863,0.00706834,0.000731086,1.05297e-05,0.00264887
49,0.98,0.00273177,0.00307256,1.03789,0.998509,0.000550639,-0.0545755,0.00121993,-0.00286413,-0.00446116,0.0346225,0.0361903,0.0382036,-0.000756719,-0.00195528,0.0437657,0.0339566,0.0316363,4.29619e-05,0.00664023,0.000914821,0.000369093,0.00261066,0.00717263,0.000618597,-1.14766e-05,0.00271191
50,1,0.00192453,0.00310207,1.03779,0.998475,0.000562453,-0.0552032,-0.000138982,-0.00395241,-0.00523403,0.036082,0.0362903,0.0375592,-0.00148051,-0.00160063,0.0434414,0.0340879,0.0325608,0.000407012,0.00696915,0.000983513,0.000408403,0.00270258,0.00735025,0.000663857,5.21541e-06,0.00280875
